title,uri,text,html
"PhD in Supply Chain Operations | Carlson School",https://carlsonschool.umn.edu/graduate/phd/concentrations/supply-chain-operations,,"<p style=""font-family:'Open Sans', sans-serif;font-size:1.6em;"">Field-leading Research</p>"
"PhD in Supply Chain Operations | Carlson School",https://carlsonschool.umn.edu/graduate/phd/concentrations/supply-chain-operations,,"<p style=""font-family:'Open Sans', sans-serif;font-size:1.6em;"">Top-Ranked</p>"
"Work and Organizations faculty win research awards",https://carlsonschool.umn.edu/news/work-and-organizations-faculty-win-research-awards,,"<p style=""font-size:2.4rem;"">Elizabeth Campbell</p>"
"Work and Organizations faculty win research awards",https://carlsonschool.umn.edu/news/work-and-organizations-faculty-win-research-awards,,"<p style=""font-size:2.4rem;"">Pri Shah&nbsp;</p>"
"Work and Organizations faculty win research awards",https://carlsonschool.umn.edu/news/work-and-organizations-faculty-win-research-awards,,"<p style=""font-size:2.4rem;"">Connie Wanberg</p>"
"Work and Organizations faculty win research awards",https://carlsonschool.umn.edu/news/work-and-organizations-faculty-win-research-awards,,"<p style=""font-size:2.4rem;"">Mary Zellmer-Bruhn</p>"
"PhD Current Students Graduate Placements | Carlson School",https://carlsonschool.umn.edu/graduate/phd/current-students/graduate-placements,,"<p style=""font-family:'Open Sans', sans-serif;font-size:2em;"">2025 Graduate Placements</p>"
"Class of 2022 Success Post Pandemic Obstacles",https://carlsonschool.umn.edu/news/class-2022-finds-success-despite-pandemic-obstacles,,"<p style=""font-size:2.8rem;""><em>Management Information Systems; Marketing</em></p>"
"Class of 2022 Success Post Pandemic Obstacles",https://carlsonschool.umn.edu/news/class-2022-finds-success-despite-pandemic-obstacles,,"<p style=""font-size:2.8rem;""><em>Part-Time MBA</em></p>"
"Class of 2022 Success Post Pandemic Obstacles",https://carlsonschool.umn.edu/news/class-2022-finds-success-despite-pandemic-obstacles,,"<p style=""font-size:2.8rem;""><em>Carlson Executive MBA&mdash;China Program</em></p>"
"Class of 2022 Success Post Pandemic Obstacles",https://carlsonschool.umn.edu/news/class-2022-finds-success-despite-pandemic-obstacles,,"<p style=""font-size:2.8rem;""><em>Full-Time MBA</em></p>"
