phase,iteration,route,url,http_code,ttfb,total,size_download,effective_url
"warm_same_url",3,"/em/msmk/i-fit","https://carlsonschool.ddev.site/em/msmk/i-fit",200,0.021307,0.027230,301496,https://carlsonschool.ddev.site/em/msmk/i-fit
"warm_same_url",3,"/alumni/events/1st-tuesday","https://carlsonschool.ddev.site/alumni/events/1st-tuesday",200,0.020541,0.026590,334300,https://carlsonschool.ddev.site/alumni/events/1st-tuesday
"warm_same_url",3,"/discovery/fall-2021","https://carlsonschool.ddev.site/discovery/fall-2021",200,0.019969,0.025454,313079,https://carlsonschool.ddev.site/discovery/fall-2021
"warm_same_url",3,"/node/118271","https://carlsonschool.ddev.site/node/118271",200,0.040951,0.051189,323286,https://carlsonschool.ddev.site/undergraduate/majors-minors/accounting/plan
"warm_same_url",3,"/give","https://carlsonschool.ddev.site/give",200,0.022692,0.029131,320362,https://carlsonschool.ddev.site/give
"warm_same_url",3,"/graduate/resources/find-degree","https://carlsonschool.ddev.site/graduate/resources/find-degree",200,0.022532,0.029316,349989,https://carlsonschool.ddev.site/graduate/resources/find-degree
"warm_same_url",3,"/conferences/convene/convene-conference-schedule/Payment_Reimbursement","https://carlsonschool.ddev.site/conferences/convene/convene-conference-schedule/Payment_Reimbursement",200,0.022969,0.028119,290415,https://carlsonschool.ddev.site/conferences/convene/convene-conference-schedule/Payment_Reimbursement
"warm_same_url",4,"/","https://carlsonschool.ddev.site/",200,0.024478,0.030313,331756,https://carlsonschool.ddev.site/
"warm_same_url",4,"/executive-education/courses","https://carlsonschool.ddev.site/executive-education/courses",200,0.022890,0.029670,340244,https://carlsonschool.ddev.site/executive-education/courses
"warm_same_url",4,"/graduate/mba/full-time","https://carlsonschool.ddev.site/graduate/mba/full-time",200,0.023935,0.034020,428277,https://carlsonschool.ddev.site/graduate/mba/full-time
"warm_same_url",4,"/graduate","https://carlsonschool.ddev.site/graduate",200,0.040405,0.047489,405550,https://carlsonschool.ddev.site/graduate
"warm_same_url",4,"/news","https://carlsonschool.ddev.site/news",200,0.203101,0.210226,311392,https://carlsonschool.ddev.site/news
"warm_same_url",4,"/faculty-research/directory-tenured-tenure-track","https://carlsonschool.ddev.site/faculty-research/directory-tenured-tenure-track",200,0.024206,0.030815,322568,https://carlsonschool.ddev.site/faculty-research/directory-tenured-tenure-track
"warm_same_url",4,"/alumni/events","https://carlsonschool.ddev.site/alumni/events",200,0.023601,0.029735,320894,https://carlsonschool.ddev.site/alumni/events
"warm_same_url",4,"/executive-education","https://carlsonschool.ddev.site/executive-education",200,0.022724,0.027901,320251,https://carlsonschool.ddev.site/executive-education
